Y;Effect;etat_sanitaire;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;AC_UC;-0.08669;0.9581    ;N.S
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;AC_LC;0.38402    ;0.1141    ;N.S
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;AC_BC;0.75488    ;< 0.001 ***;***
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;UC_LC;0.47072    ;0.0298 *;N.S
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;UC_BC;0.84157    ;< 0.001 ***;***
ab.colsx;Stratum effect;sain;General;< 0,001;< 0,001;LC_BC;0.37086    ;0.1278    ;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;AC_UC;;;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;AC_LC;;;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;AC_BC;;;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;UC_LC;;;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;UC_BC;;;N.S
sr.colsx;Stratum effect;sain;General;N.S;N.S;LC_BC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_UC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_LC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_BC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;UC_LC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;UC_BC;;;N.S
ab.colsxrar;Stratum effect;sain;General;N.S;N.S;LC_BC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_UC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_LC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;AC_BC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;UC_LC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;UC_BC;;;N.S
sr.colsxrar;Stratum effect;sain;General;N.S;N.S;LC_BC;;;N.S
ab.colsxcom;Stratum effect;sain;General;;;AC_UC;;;
ab.colsxcom;Stratum effect;sain;General;;;AC_LC;;;
ab.colsxcom;Stratum effect;sain;General;;;AC_BC;;;
ab.colsxcom;Stratum effect;sain;General;;;UC_LC;;;
ab.colsxcom;Stratum effect;sain;General;;;UC_BC;;;
ab.colsxcom;Stratum effect;sain;General;;;LC_BC;;;
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;AC_UC;;;N.S
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;AC_LC;;;N.S
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;AC_BC;;;N.S
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;UC_LC;;;N.S
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;UC_BC;;;N.S
sr.colsxcom;Stratum effect;sain;General;N.S;N.S;LC_BC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
ab.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;LC_BC;;;N.S
sr.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_UC;;;N.S
sr.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_LC;;;N.S
sr.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;AC_BC;;;N.S
sr.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;UC_LC;;;N.S
sr.fon;Stratum effect;sain;Microhabitat Larvae Guilds;N.S;N.S;UC_BC;;;N.S
